base_letter,variant,W,p_global,p_in_base,rank_in_base
А,Æ,81061.4822850000,0.0005837679,0.5177219267,1
А,Ӑ,39264.1490664982,0.0002827625,0.2507715173,2
А,АЬ,29503.4087959000,0.0002124701,0.1884318078,3
А,Ӓ,6614.4332256619,0.0000476341,0.0422449358,4
А,А̄,128.7932250000,0.0000009275,0.0008225741,5
А,Аᵸ,1.1333333333,0.0000000082,0.0000072384,6
Г,Ғ,456708.2716529042,0.0032890051,0.7185697821,1
Г,ГЪ,79900.4687665204,0.0005754068,0.1257127711,2
Г,ГЬ,62318.1700738840,0.0004487871,0.0980493603,3
Г,ГӀ,18420.0547736148,0.0001326529,0.0289815087,4
Г,Ґ,14576.4967000000,0.0001049733,0.0229341808,5
Г,Ҕ,3186.2353320000,0.0000229458,0.0050131179,6
Г,Ӷ,469.8706772000,0.0000033838,0.0007392791,7
Д,ДЖ,4123.8106932000,0.0000296978,0.6951490172,1
Д,ДЬ,1808.4579156000,0.0000130237,0.3048509828,2
Е,Ё,231069.6985715253,0.0016640588,0.4860120531,1
Е,Є,205307.8515000000,0.0014785337,0.4318268083,2
Е,Ӗ,38167.3564768426,0.0002748639,0.0802779222,3
Е,Ѣ,829.8269558896,0.0000059760,0.0017453864,4
Е,Е̄,64.3966130000,0.0000004638,0.0001354463,5
Е,Еᵸ,1.1333333333,0.0000000082,0.0000023838,6
Ж,Җ,40177.9944030110,0.0002893436,0.8047726167,1
Ж,ЖЬ,8509.6460200000,0.0000612826,0.1704497747,2
Ж,ЖЪ,885.5915400000,0.0000063776,0.0177385614,3
Ж,Ӝ,276.4680336000,0.0000019910,0.0055377056,4
Ж,Ӂ,74.9539591500,0.0000005398,0.0015013416,5
З,Ҙ,35413.6360259000,0.0002550329,0.9747390788,1
З,Ӟ,917.7646500000,0.0000066093,0.0252609212,2
И,І,4218231.2643348584,0.0303777819,0.9986278227,1
И,Ӥ,3826.6059348000,0.0000275575,0.0009059141,2
И,Ӣ,1968.3750662550,0.0000141753,0.0004659949,3
И,Иᵸ,1.1333333333,0.0000000082,0.0000002683,4
Й,Ї,401886.9270000000,0.0028942068,0.9967530151,1
Й,Ј,1309.0494829400,0.0000094272,0.0032466819,2
Й,Ѵ,0.1221605454,0.0000000009,0.0000003030,3
К,Қ,1437936.8754736660,0.0103553670,0.8693448759,1
К,КЪ,92284.0977012480,0.0006645881,0.0557929272,2
К,Ҡ,39338.8983623000,0.0002833008,0.0237834291,3
К,КХ,28750.9627148000,0.0002070513,0.0173821970,4
К,КЬ,27049.4494467704,0.0001947978,0.0163534997,5
К,КӀ,26808.3054568920,0.0001930612,0.0162077094,6
К,Ҟ,1877.9410684000,0.0000135241,0.0011353617,7
Л,ЛЪ,64780.7973606984,0.0004665218,0.9485006888,1
Л,ЛӀ,3517.3052428600,0.0000253300,0.0514993112,2
Н,Ң,368783.8501149769,0.0026558135,0.9548568829,1
Н,НЪ,9168.3707026000,0.0000660264,0.0237387886,2
Н,Ҥ,6074.9986536094,0.0000437494,0.0157294151,3
Н,Ӈ,1585.7936046300,0.0000114202,0.0041059443,4
Н,НЬ,605.9656008000,0.0000043639,0.0015689690,5
О,Ө,382091.5070350162,0.0027516491,0.9117652977,1
О,Ӧ,22968.5372522097,0.0001654090,0.0548086383,2
О,ОЬ,13976.6619066000,0.0001006536,0.0333517890,3
О,О̄,29.9929430000,0.0000002160,0.0000715706,4
О,Оᵸ,1.1333333333,0.0000000082,0.0000027044,5
П,ПӀ,8282.1001259116,0.0000596439,0.7648255521,1
П,Ԥ,2546.6438976000,0.0000183398,0.2351744479,2
С,Ҫ,28046.1167710858,0.0002019754,1.0000000000,1
Т,ТӀ,17439.0246093416,0.0001255879,0.8538678802,1
Т,Ҭ,2984.5385830000,0.0000214933,0.1461321198,2
У,Ў,768212.5165092676,0.0055323169,0.5549161727,1
У,Ү,423110.9782609898,0.0030470527,0.3056330373,2
У,Ұ,159028.6194012000,0.0011452517,0.1148738805,3
У,УЬ,23748.9426211000,0.0001710291,0.0171549826,4
У,Ӱ,6635.4769426988,0.0000477857,0.0047931183,5
У,Ӳ,2449.3591204722,0.0000176392,0.0017692877,6
У,Ӯ,1188.7665168600,0.0000085610,0.0008587022,7
У,Уᵸ,1.1333333333,0.0000000082,0.0000008187,8
Ф,ФӀ,2698.9573000000,0.0000194367,0.9962633288,1
Ф,Ѳ,10.1229421970,0.0000000729,0.0037366712,2
Х,Ҳ,418594.5760780300,0.0030145276,0.6616800990,1
Х,ХЬ,88420.4464361644,0.0006367638,0.1397678162,2
Х,Һ,78186.8580324200,0.0005630662,0.1235913959,3
Х,ХЪ,32076.3181749960,0.0002309990,0.0507036225,4
Х,ХӀ,15345.5974536416,0.0001105120,0.0242570664,5
Ц,ЦӀ,11472.2704196772,0.0000826181,0.8589518946,1
Ц,Ҵ,1883.8563806000,0.0000135667,0.1410481054,2
Ч,ЧӀ,9604.5575248280,0.0000691677,0.7273481775,1
Ч,Ҷ,2645.8231442300,0.0000190540,0.2003668193,2
Ч,Ӵ,834.2393400000,0.0000060078,0.0631765141,3
Ч,Ӌ,120.2766579000,0.0000008662,0.0091084891,4
Ш,ШӀ,4966.1386200000,0.0000357639,0.5626046638,1
Ш,ШЪ,3860.9098200000,0.0000278045,0.4373953362,2
Щ,ЩӀ,13273.2206000000,0.0000955877,0.9039289632,1
Щ,Ӡ,1410.6994210000,0.0000101592,0.0960710368,2
Ъ,Ҿ,852.1015440000,0.0000061364,0.6706191113,1
Ъ,Ҽ,418.5176938000,0.0000030140,0.3293808887,2
Ы,Ӹ,9339.3052138928,0.0000672574,1.0000000000,1
Ь,Ӏ,31045.4220341697,0.0002235750,1.0000000000,1
Э,Ә,716707.5375788999,0.0051614015,1.0000000000,1
Ю,Ҩ,1311.8959000000,0.0000094477,1.0000000000,1
Я,ЯЬ,1592.5929902000,0.0000114691,0.8189193338,1
Я,Џ,352.1565406000,0.0000025361,0.1810806662,2
